protein1 protein2 experimental database textmining combined_score
362663.ECP_0022 362663.ECP_3429 358 0 0 358
362663.ECP_0022 362663.ECP_3399 988 910 0 998
362663.ECP_0022 362663.ECP_3398 967 0 0 967
362663.ECP_0022 362663.ECP_3374 376 0 0 376
362663.ECP_0022 362663.ECP_3313 988 910 0 998
362663.ECP_0022 362663.ECP_3291 774 562 0 896
362663.ECP_0022 362663.ECP_4055 287 0 0 286
362663.ECP_0022 362663.ECP_4405 376 0 0 376
362663.ECP_0022 362663.ECP_0177 988 910 0 998
362663.ECP_0022 362663.ECP_3397 967 0 0 967
362663.ECP_0022 362663.ECP_3431 988 910 0 998
362663.ECP_0022 362663.ECP_3430 849 0 0 849
362663.ECP_0022 362663.ECP_3406 967 0 0 967
362663.ECP_0022 362663.ECP_2765 376 0 0 376
362663.ECP_0022 362663.ECP_3443 257 0 0 256
362663.ECP_0022 362663.ECP_3253 988 910 0 998
362663.ECP_0022 362663.ECP_4391 376 0 0 376
362663.ECP_0022 362663.ECP_3404 988 910 0 998
362663.ECP_0022 362663.ECP_4199 849 0 0 849
362663.ECP_0022 362663.ECP_3393 967 0 0 967
362663.ECP_0022 362663.ECP_3390 955 0 0 955
362663.ECP_0022 362663.ECP_0359 774 0 0 774
362663.ECP_0022 362663.ECP_4758 376 0 0 376
362663.ECP_0022 362663.ECP_0053 376 0 0 376
362663.ECP_0022 362663.ECP_3734 955 0 0 955
362663.ECP_0022 362663.ECP_2571 849 0 0 849
362663.ECP_0022 362663.ECP_0958 312 0 0 311
362663.ECP_0022 362663.ECP_3692 382 0 0 382
362663.ECP_0022 362663.ECP_4194 376 0 0 376
362663.ECP_0022 362663.ECP_0200 376 0 0 376
362663.ECP_0022 362663.ECP_3395 988 910 0 998
362663.ECP_0022 362663.ECP_4195 376 0 0 376
362663.ECP_0022 362663.ECP_2610 988 910 0 998
362663.ECP_0022 362663.ECP_3408 967 0 0 967
362663.ECP_0022 362663.ECP_4197 940 0 452 965
362663.ECP_0022 362663.ECP_2620 849 0 0 849
362663.ECP_0022 362663.ECP_1665 850 0 0 850
362663.ECP_0022 362663.ECP_3273 967 0 0 967
362663.ECP_0022 362663.ECP_3387 774 0 0 774
362663.ECP_0022 362663.ECP_3155 988 910 0 998
362663.ECP_0022 362663.ECP_0180 853 0 0 853
362663.ECP_0022 362663.ECP_0095 376 0 0 376
362663.ECP_0022 362663.ECP_3384 988 910 0 998
362663.ECP_0022 362663.ECP_3432 988 910 0 998
362663.ECP_0022 362663.ECP_4145 967 0 0 967
362663.ECP_0022 362663.ECP_3256 849 0 0 849
362663.ECP_0022 362663.ECP_3402 988 910 0 998
362663.ECP_0022 362663.ECP_0954 257 0 0 256
362663.ECP_0022 362663.ECP_0922 376 889 0 927
362663.ECP_0022 362663.ECP_3383 376 0 0 376
362663.ECP_0022 362663.ECP_3747 764 0 0 764
362663.ECP_0022 362663.ECP_2933 199 0 0 199
362663.ECP_0022 362663.ECP_3405 967 0 0 967
362663.ECP_0022 362663.ECP_2212 373 0 0 373
362663.ECP_0022 362663.ECP_3314 967 0 0 967
362663.ECP_0023 362663.ECP_2831 265 0 0 265
362663.ECP_0024 362663.ECP_3164 82 0 206 239
362663.ECP_0024 362663.ECP_0737 271 0 0 271
362663.ECP_0024 362663.ECP_1455 152 525 51 584
362663.ECP_0024 362663.ECP_4373 273 707 145 801
362663.ECP_0024 362663.ECP_0918 182 0 0 181
362663.ECP_0024 362663.ECP_3075 152 525 51 584
362663.ECP_0024 362663.ECP_2435 199 0 0 199
362663.ECP_0024 362663.ECP_2340 152 525 51 584
362663.ECP_0024 362663.ECP_1580 152 525 51 584
362663.ECP_0024 362663.ECP_0484 199 0 0 199
362663.ECP_0024 362663.ECP_1822 365 844 0 896
362663.ECP_0024 362663.ECP_0672 331 866 342 935
362663.ECP_0024 362663.ECP_3694 152 525 51 584
362663.ECP_0024 362663.ECP_4200 0 0 357 357
362663.ECP_0024 362663.ECP_0686 218 0 0 218
362663.ECP_0024 362663.ECP_0154 294 706 206 820
362663.ECP_0024 362663.ECP_0204 293 844 562 947
362663.ECP_0024 362663.ECP_4201 0 0 357 357
362663.ECP_0024 362663.ECP_2341 152 525 51 584
362663.ECP_0024 362663.ECP_0325 273 707 145 801
362663.ECP_0024 362663.ECP_2152 372 830 722 967
362663.ECP_0024 362663.ECP_4274 271 0 0 271
362663.ECP_0024 362663.ECP_2422 294 706 268 834
362663.ECP_0024 362663.ECP_0794 199 0 0 199
362663.ECP_0024 362663.ECP_0700 294 706 280 837
362663.ECP_0024 362663.ECP_3311 152 525 51 584
362663.ECP_0024 362663.ECP_2657 221 0 256 395
362663.ECP_0024 362663.ECP_1661 294 0 472 611
