protein1 protein2 experimental database textmining combined_score
1034809.SLUG_00170 1034809.SLUG_05030 143 0 53 153
1034809.SLUG_00170 1034809.SLUG_12350 219 0 202 350
1034809.SLUG_00170 1034809.SLUG_21380 225 0 260 401
1034809.SLUG_00170 1034809.SLUG_18480 143 0 53 153
1034809.SLUG_00170 1034809.SLUG_06750 219 0 202 350
1034809.SLUG_00170 1034809.SLUG_11190 109 0 264 316
1034809.SLUG_00170 1034809.SLUG_20310 151 0 115 216
1034809.SLUG_00170 1034809.SLUG_01170 219 0 52 227
1034809.SLUG_00170 1034809.SLUG_15860 143 0 53 153
1034809.SLUG_00180 1034809.SLUG_12340 219 0 195 344
1034809.SLUG_00180 1034809.SLUG_01180 219 0 156 312
1034809.SLUG_00180 1034809.SLUG_06760 219 0 151 308
1034809.SLUG_00180 1034809.SLUG_06030 134 0 75 164
1034809.SLUG_00180 1034809.SLUG_11180 141 0 248 326
1034809.SLUG_00180 1034809.SLUG_00840 219 0 64 237
1034809.SLUG_00180 1034809.SLUG_15060 219 0 257 394
1034809.SLUG_00180 1034809.SLUG_16830 0 0 198 198
1034809.SLUG_00180 1034809.SLUG_15790 134 0 75 164
1034809.SLUG_00180 1034809.SLUG_15800 0 0 265 265
1034809.SLUG_00180 1034809.SLUG_24120 219 0 52 227
1034809.SLUG_00180 1034809.SLUG_00170 219 0 665 727
1034809.SLUG_00180 1034809.SLUG_21380 117 0 525 562
1034809.SLUG_00180 1034809.SLUG_03380 219 0 206 353
1034809.SLUG_00180 1034809.SLUG_06010 141 0 113 205
1034809.SLUG_00180 1034809.SLUG_12110 0 0 152 151
1034809.SLUG_00180 1034809.SLUG_21390 219 0 206 353
1034809.SLUG_00180 1034809.SLUG_00470 219 0 52 227
1034809.SLUG_00180 1034809.SLUG_17160 0 0 259 258
1034809.SLUG_00180 1034809.SLUG_11190 134 0 122 207
1034809.SLUG_00180 1034809.SLUG_14760 0 0 151 150
1034809.SLUG_00180 1034809.SLUG_10830 0 0 265 265
1034809.SLUG_00180 1034809.SLUG_10840 134 0 155 236
1034809.SLUG_00180 1034809.SLUG_14180 219 0 173 326
1034809.SLUG_00180 1034809.SLUG_17140 0 0 266 266
1034809.SLUG_00180 1034809.SLUG_00190 0 0 249 248
1034809.SLUG_00180 1034809.SLUG_05360 219 0 170 324
1034809.SLUG_00190 1034809.SLUG_00180 0 0 249 248
1034809.SLUG_00190 1034809.SLUG_00200 0 0 524 524
1034809.SLUG_00200 1034809.SLUG_00190 0 0 524 524
1034809.SLUG_00210 1034809.SLUG_00240 0 0 665 665
1034809.SLUG_00220 1034809.SLUG_14400 0 0 152 151
1034809.SLUG_00220 1034809.SLUG_13620 0 0 386 386
1034809.SLUG_00220 1034809.SLUG_16420 0 0 196 196
1034809.SLUG_00220 1034809.SLUG_00240 0 0 396 396
1034809.SLUG_00220 1034809.SLUG_20360 0 0 152 151
1034809.SLUG_00220 1034809.SLUG_12960 0 0 152 151
1034809.SLUG_00240 1034809.SLUG_20540 0 0 240 239
1034809.SLUG_00240 1034809.SLUG_17080 159 0 0 158
1034809.SLUG_00240 1034809.SLUG_18190 422 0 0 422
1034809.SLUG_00240 1034809.SLUG_00210 0 0 665 665
1034809.SLUG_00240 1034809.SLUG_24060 77 0 154 185
1034809.SLUG_00240 1034809.SLUG_14570 159 0 0 158
1034809.SLUG_00240 1034809.SLUG_00220 0 0 396 396
1034809.SLUG_00240 1034809.SLUG_03320 0 0 463 463
1034809.SLUG_00240 1034809.SLUG_21820 77 0 154 185
1034809.SLUG_00240 1034809.SLUG_03490 422 0 0 422
1034809.SLUG_00250 1034809.SLUG_02200 154 0 0 153
1034809.SLUG_00250 1034809.SLUG_16650 154 0 0 153
1034809.SLUG_00250 1034809.SLUG_11160 199 0 0 199
1034809.SLUG_00250 1034809.SLUG_10250 215 0 0 215
1034809.SLUG_00250 1034809.SLUG_04560 161 0 0 161
1034809.SLUG_00250 1034809.SLUG_10530 168 0 0 167
1034809.SLUG_00250 1034809.SLUG_06870 161 0 0 161
1034809.SLUG_00250 1034809.SLUG_23170 222 0 0 222
1034809.SLUG_00250 1034809.SLUG_01580 161 0 0 161
1034809.SLUG_00250 1034809.SLUG_11410 154 0 0 153
1034809.SLUG_00250 1034809.SLUG_21420 161 0 0 161
1034809.SLUG_00260 1034809.SLUG_10910 0 0 463 463
1034809.SLUG_00280 1034809.SLUG_23760 0 0 286 286
1034809.SLUG_00280 1034809.SLUG_22720 151 0 0 150
1034809.SLUG_00290 1034809.SLUG_10910 226 0 0 225
1034809.SLUG_00290 1034809.SLUG_11700 160 0 0 159
1034809.SLUG_00330 1034809.SLUG_17140 190 0 96 236
1034809.SLUG_00340 1034809.SLUG_05390 79 130 0 164
1034809.SLUG_00340 1034809.SLUG_01600 227 0 0 226
1034809.SLUG_00340 1034809.SLUG_12300 160 0 0 159
1034809.SLUG_00340 1034809.SLUG_13310 157 0 0 156
1034809.SLUG_00340 1034809.SLUG_15120 227 0 0 226
1034809.SLUG_00340 1034809.SLUG_12380 160 0 0 159
1034809.SLUG_00340 1034809.SLUG_03760 227 0 0 226
1034809.SLUG_00350 1034809.SLUG_14340 76 336 0 360
1034809.SLUG_00350 1034809.SLUG_09640 162 0 0 161
1034809.SLUG_00350 1034809.SLUG_13320 168 0 0 167
1034809.SLUG_00350 1034809.SLUG_09620 155 172 0 270
1034809.SLUG_00350 1034809.SLUG_17740 154 527 0 582
1034809.SLUG_00350 1034809.SLUG_19200 76 336 0 360
1034809.SLUG_00350 1034809.SLUG_16710 231 755 0 803
1034809.SLUG_00350 1034809.SLUG_22060 154 527 0 582
1034809.SLUG_00350 1034809.SLUG_09610 162 0 0 161
1034809.SLUG_00350 1034809.SLUG_01960 76 336 0 360
1034809.SLUG_00350 1034809.SLUG_17290 187 0 0 187
1034809.SLUG_00350 1034809.SLUG_02280 154 527 0 582
1034809.SLUG_00350 1034809.SLUG_07370 50 432 0 437
1034809.SLUG_00350 1034809.SLUG_09630 152 639 0 680
1034809.SLUG_00350 1034809.SLUG_03510 141 735 0 762
1034809.SLUG_00350 1034809.SLUG_22460 231 764 0 810
1034809.SLUG_00350 1034809.SLUG_19560 76 336 0 360
1034809.SLUG_00350 1034809.SLUG_01770 195 0 0 195
1034809.SLUG_00350 1034809.SLUG_15490 158 0 0 157
1034809.SLUG_00350 1034809.SLUG_13210 76 336 0 360
1034809.SLUG_00350 1034809.SLUG_16180 229 0 65 248
1034809.SLUG_00350 1034809.SLUG_02230 151 0 150 247
1034809.SLUG_00350 1034809.SLUG_18100 223 0 0 223
1034809.SLUG_00350 1034809.SLUG_16170 229 0 65 248
1034809.SLUG_00350 1034809.SLUG_03110 76 336 0 360
